ident,name,coordinates,elevation_ft,iso_country,municipality,iata_code
NTGE,Reao Airport,"-136.44000244140625, -18.465900421142578",12,PF,,REA
NTGF,Fakarava Airport,"-145.65699768066406, -16.054100036621094",13,PF,,FAV
NTGI,Manihi Airport,"-146.07000732421875, -14.436800003051758",14,PF,,XMH
NTGJ,Totegegie Airport,"-134.88999938964844, -23.07990074157715",7,PF,,GMR
NTGK,Kaukura Airport,"-146.88499450683594, -15.663299560546875",11,PF,,KKR
NTGM,Makemo Airport,"-143.6580047607422, -16.583900451660156",3,PF,,MKP
NTGP,Puka Puka Airport,"-138.81300354003906, -14.809499740600586",5,PF,,PKP
NTGT,Takapoto Airport,"-145.24600219726562, -14.709500312805176",12,PF,,TKP
NTGU,Arutua Airport,"-146.61700439453125, -15.248299598693848",9,PF,,AXR
NTGV,Mataiva Airport,"-148.7169952392578, -14.8681001663208",11,PF,,MVT
NTHE,Ahe Airport,"-146.2570037841797, -14.428099632263184",11,PF,Ahe Atoll,AHE
NTKR,Takaroa Airport,"-145.02499389648438, -14.45580005645752",13,PF,,TKX
NTMD,Nuku Hiva Airport,"-140.22900390625, -8.795599937438965",220,PF,,NHV
NTMN,Hiva Oa-Atuona Airport,"-139.011001587, -9.76879024506",1481,PF,Hiva Oa Island,AUQ
NTTB,Bora Bora Airport,"-151.75100708007812, -16.444400787353516",10,PF,Motu Mute,BOB
NTTG,Rangiroa Airport,"-147.66099548339844, -14.954299926757812",10,PF,,RGI
NTTH,Huahine-Fare Airport,"-151.02200317382812, -16.68720054626465",7,PF,Fare,HUH
NTTM,Moorea Airport,"-149.76199340820312, -17.489999771118164",9,PF,,MOZ
NTTO,Hao Airport,"-140.9459991455078, -18.074800491333008",10,PF,,HOI
NTTP,Maupiti Airport,"-152.24400329589844, -16.42650032043457",15,PF,,MAU
NTTR,Raiatea Airport,"-151.466003, -16.7229",3,PF,Uturoa,RFP
NVSQ,Gaua Island Airport,"167.587005615, -14.218099594099998",100,VU,Gaua Island,ZGU
NVSS,Santo Pekoa International Airport,"167.220001221, -15.505000114399998",184,VU,Luganville,SON
NVVV,Bauerfield International Airport,"168.32000732422, -17.699300765991",70,VU,Port Vila,VLI
NVVW,Tanna Airport,"169.2239990234375, -19.45509910583496",19,VU,,TAH
NWWA,Tiga Airport,"167.8040008544922, -21.096099853515625",128,NC,Tiga,TGJ
NWWC,Île Art - Waala Airport,"163.66099548339844, -19.720600128173828",306,NC,Waala,BMY
NWWD,Koné Airport,"164.83700561523438, -21.05430030822754",23,NC,Koné,KNQ
NWWE,Île des Pins Airport,"167.45599365234375, -22.588899612426758",315,NC,Île des Pins,ILP
NWWK,Koumac Airport,"164.25599670410156, -20.546300888061523",42,NC,Koumac,KOC
NWWL,Lifou Airport,"167.24000549316406, -20.774799346923828",92,NC,Lifou,LIF
NWWM,Nouméa Magenta Airport,"166.47300720214844, -22.25830078125",10,NC,Nouméa,GEA
NWWR,Maré Airport,"168.03799438476562, -21.481700897216797",141,NC,Maré,MEE
NWWU,Touho Airport,"165.25900268554688, -20.790000915527344",10,NC,Touho,TOU
NWWV,Ouvéa Airport,"166.572998046875, -20.640600204467773",23,NC,Ouvéa,UVE
NWWW,La Tontouta International Airport,"166.21299743652344, -22.01460075378418",52,NC,Nouméa,NOU
NZAA,Auckland International Airport,"174.792007446, -37.008098602299995",23,NZ,Auckland,AKL
NZAP,Taupo Airport,"176.08399963378906, -38.73970031738281",1335,NZ,Taupo,TUO
NZAR,Ardmore Airport,"174.97300720214844, -37.029701232910156",111,NZ,Manurewa,AMZ
NZCH,Christchurch International Airport,"172.53199768066406, -43.48939895629883",123,NZ,Christchurch,CHC
NZCI,Chatham Islands-Tuuta Airport,"-176.45700073242188, -43.810001373291016",43,NZ,Waitangi,CHT
NZDN,Dunedin Airport,"170.197998046875, -45.9281005859375",4,NZ,Dunedin,DUD
NZGS,Gisborne Airport,"177.97799682617188, -38.663299560546875",15,NZ,Gisborne,GIS
NZGT,Glentanner Airport,"170.1280059814453, -43.906700134277344",1824,NZ,Glentanner Station,GTN
NZHK,Hokitika Airfield,"170.98500061035156, -42.713600158691406",146,NZ,,HKK
NZHN,Hamilton International Airport,"175.332000732, -37.8666992188",172,NZ,Hamilton,HLZ
NZIR,McMurdo Station Ice Runway,"166.468994140625, -77.85399627685547",1,AQ,McMurdo Station,
NZKK,Kerikeri Airport,"173.91200256347656, -35.26279830932617",492,NZ,Kerikeri,KKE
NZKT,Kaitaia Airport,"173.28500366210938, -35.06999969482422",270,NZ,Kaitaia,KAT
NZLX,Alexandra Airport,"169.3730010986328, -45.211700439453125",752,NZ,Alexandra,ALR
NZMC,Mount Cook Airport,"170.13299560546875, -43.76499938964844",2153,NZ,,MON
NZMO,Manapouri Airport,"167.64999389648438, -45.53310012817383",687,NZ,,TEU
NZMS,Hood Airport,"175.63400268554688, -40.97330093383789",364,NZ,Masterton,MRO
NZNP,New Plymouth Airport,"174.1790008544922, -39.00859832763672",97,NZ,New Plymouth,NPL
NZNR,Hawke's Bay Airport,"176.869995, -39.465801",6,NZ,Napier,NPE
NZNS,Nelson Airport,"173.2209930419922, -41.298301696777344",17,NZ,Nelson,NSN
NZNV,Invercargill Airport,"168.31300354003906, -46.41239929199219",5,NZ,Invercargill,IVC
NZOH,RNZAF Base Ohakea,"175.38800048828125, -40.20600128173828",164,NZ,,OHA
NZOU,Oamaru Airport,"171.08200073242188, -44.970001220703125",99,NZ,,OAM
NZPG,McMurdo Station Pegasus Field,"166.52499389648438, -77.9634017944336",18,AQ,McMurdo Station,
NZPM,Palmerston North Airport,"175.61700439453125, -40.32059860229492",151,NZ,,PMR
NZPP,Paraparaumu Airport,"174.98899841308594, -40.904701232910156",22,NZ,,PPQ
NZQN,Queenstown International Airport,"168.738998413, -45.0210990906",1171,NZ,Queenstown,ZQN
NZRO,Rotorua Regional Airport,"176.31700134277344, -38.10919952392578",935,NZ,Rotorua,ROT
NZSP,South Pole Station Airport,"0, -90",9300,AQ,,
NZTG,Tauranga Airport,"176.1959991455078, -37.67190170288086",13,NZ,Tauranga,TRG
NZTU,Timaru Airport,"171.22500610351562, -44.302799224853516",89,NZ,,TIU
NZUK,Pukaki Airport,"170.117996216, -44.2350006104",1575,NZ,Twitzel,TWZ
NZWB,Woodbourne Airport,"173.8699951171875, -41.5182991027832",109,NZ,Blenheim,BHE
NZWD,Williams Field,"167.0570068359375, -77.86740112304688",68,AQ,McMurdo Station,
NZWF,Wanaka Airport,"169.24600219727, -44.722198486328",1142,NZ,,WKA
NZWK,Whakatane Airport,"176.91400146484375, -37.92060089111328",20,NZ,,WHK
NZWN,Wellington International Airport,"174.804992676, -41.3272018433",41,NZ,Wellington,WLG
NZWO,Wairoa Airport,"177.40699768066406, -39.006900787353516",42,NZ,Wairoa,WIR
NZWP,RNZAF Base Auckland-Whenuapai,"174.6300048828125, -36.78779983520508",100,NZ,,
NZWR,Whangarei Airport,"174.36500549316406, -35.7682991027832",133,NZ,,WRE
NZWS,Westport Airport,"171.58099365234375, -41.73809814453125",13,NZ,,WSZ
NZWU,Wanganui Airport,"175.02499389648438, -39.96220016479492",27,NZ,Wanganui,WAG
OAHR,Herat Airport,"62.22829818725586, 34.209999084472656",3206,AF,,HEA
OAIX,Bagram Air Base,"69.26499938959999, 34.9460983276",4895,AF,Bagram,OAI
OAJL,Jalalabad Airport,"70.49859619140625, 34.39979934692383",1814,AF,,JAA
OAKB,Kabul International Airport,"69.2123031616211, 34.56589889526367",5877,AF,Kabul,KBL
OAKN,Kandahar Airport,"65.8478012084961, 31.505800247192383",3337,AF,,KDH
OAMN,Maimana Airport,"64.76090240478516, 35.93080139160156",2743,AF,,MMZ
OAMS,Mazar I Sharif Airport,"67.20970153808594, 36.70690155029297",1284,AF,,MZR
OAUZ,Konduz Airport,"68.91079711914062, 36.66510009765625",1457,AF,,UND
OBBI,Bahrain International Airport,"50.63359832763672, 26.27079963684082",6,BH,Manama,BAH
OBBS,Sheik Isa Air Base,"50.590599060058594, 25.918399810791016",136,BH,Sitrah,
OEAB,Abha Regional Airport,"42.65660095210001, 18.240400314299997",6858,SA,Abha,AHB
OEAH,Al Ahsa Airport,"49.485198974609375, 25.28529930114746",588,SA,,HOF
OEBA,Al Baha Airport,"41.6343002319, 20.2961006165",5486,SA,,ABT
OEBH,Bisha Airport,"42.62089920043945, 19.984399795532227",3887,SA,,BHH
OEDF,King Fahd International Airport,"49.79790115356445, 26.471200942993164",72,SA,Ad Dammam,DMM
OEDM,Dawadmi Domestic Airport,"44.121201, 24.4499",3026,SA,,
OEDR,King Abdulaziz Air Base,"50.152000427199994, 26.265399932900003",84,SA,,DHA
OEDW,Dawadmi Domestic Airport,"44.400001525878906, 24.5",3429,SA,Dawadmi,DWD
OEGN,Jizan Regional Airport,"42.58580017089844, 16.901100158691406",20,SA,Jizan,GIZ
OEGS,Gassim Airport,"43.77439880371094, 26.302799224853516",2126,SA,,ELQ
OEGT,Gurayat Domestic Airport,"37.278898, 31.412413",1672,SA,Gurayat,URY
OEHL,Ha'il Airport,"41.686298, 27.437901",3331,SA,Ha'il,HAS
OEJB,Jubail Airport,"49.40510177612305, 27.038999557495117",26,SA,Jubail,QJB
OEJF,King Faisal Naval Base,"39.17300033569336, 21.348100662231445",7,SA,Jeddah,
OEJN,King Abdulaziz International Airport,"39.156502, 21.6796",48,SA,Jeddah,JED
OEKK,King Khaled Military City Airport,"45.528198, 27.9009",1352,SA,King Khaled Military City,KMC
OEKM,King Khaled Air Base,"42.80350112915039, 18.297300338745117",6778,SA,,KMX
OEMA,Prince Mohammad Bin Abdulaziz Airport,"39.705101, 24.5534",2151,SA,Medina,MED
OENG,Nejran Airport,"44.4192008972168, 17.611400604248047",3982,SA,,EAM
OEPA,Al Qaisumah/Hafr Al Batin Airport,"46.125099, 28.335199",1174,SA,Qaisumah,AQI
OEPS,Prince Sultan Air Base,"47.580501556396484, 24.062700271606445",1651,SA,,AKH
OERF,Rafha Domestic Airport,"43.4906005859375, 29.626399993896484",1474,SA,Rafha,RAH
OERK,King Khaled International Airport,"46.69879913330078, 24.957599639892578",2049,SA,Riyadh,RUH
OERM,Ras Mishab Airport,"48.611000061035156, 28.079599380493164",13,SA,,
OERR,Arar Domestic Airport,"41.13819885253906, 30.906600952148438",1813,SA,Arar,RAE
OERT,Ras Tanura Airport,"50.030799865722656, 26.723100662231445",6,SA,,
OERY,Riyadh Air Base,"46.72520065307617, 24.709800720214844",2082,SA,Riyadh,XXN
OESH,Sharurah Airport,"47.12139892578125, 17.466899871826172",2363,SA,,SHW
OESK,Al-Jawf Domestic Airport,"40.099998474121094, 29.78510093688965",2261,SA,Al-Jawf,AJF
OETB,Tabuk Airport,"36.6189, 28.3654",2551,SA,Tabuk,TUU
OETF,Ta’if Regional Airport,"40.543442, 21.483001",4848,SA,Ta’if,TIF
OETN,Ras Tanajib Airport,"48.769100189208984, 27.867799758911133",30,SA,,
OETR,Turaif Domestic Airport,"38.731544, 31.692188",2803,SA,Turaif,TUI
OEWD,Wadi Al Dawasir Airport,"45.199600219699995, 20.504299163800003",2062,SA,,WAE
OEWJ,Al Wajh Domestic Airport,"36.47639846801758, 26.19860076904297",66,SA,Al Wajh,EJH
OEYN,Prince Abdulmohsin Bin Abdulaziz Airport,"38.0634, 24.144199",26,SA,Yanbu,YNB
OIAA,Abadan Airport,"48.2282981873, 30.371099472",10,IR,Abadan,ABD
OIAG,Aghajari Airport,"49.6772, 30.7444",88,IR,Aghajari,AKW
OIAH,Gachsaran Airport,"50.827999115, 30.337600708",2414,IR,Gachsaran,GCH
OIAI,Shahid Asyaee Airport,"49.27040100097656, 32.00239944458008",1206,IR,,
OIAM,Mahshahr Airport,"49.15190124511719, 30.55620002746582",8,IR,,MRX
OIAW,Ahwaz Airport,"48.7620010376, 31.337400436399996",66,IR,Ahwaz,AWZ
OIBA,Abumusa Island Airport,"55.03300094604492, 25.875699996948242",23,IR,,AEU
OIBB,Bushehr Airport,"50.8345985413, 28.9447994232",68,IR,Bushehr,BUZ
OIBJ,Jam Airport,"52.35219955444336, 27.820499420166016",2173,IR,Kangan,KNR
OIBK,Kish International Airport,"53.980201721200004, 26.5261993408",101,IR,Kish Island,KIH
OIBL,Bandar Lengeh Airport,"54.824798584, 26.531999588",67,IR,Bandar Lengeh,BDH
OIBP,Persian Gulf International Airport,"52.737701, 27.379601",27,IR,Asalouyeh,PGU
OIBQ,Khark Island Airport,"50.32389831542969, 29.260299682617188",17,IR,,KHK
OIBS,Sirri Island Airport,"54.539398193359375, 25.908899307250977",43,IR,,SXI
OIBV,Lavan Island Airport,"53.356300354003906, 26.810300827026367",76,IR,,LVP
OICC,Shahid Ashrafi Esfahani Airport,"47.1581001282, 34.3459014893",4307,IR,Kermanshah,KSH
OICI,Ilam Airport,"46.40480041503906, 33.58660125732422",4404,IR,Ilam,IIL
OICK,Khoram Abad Airport,"48.282901763916016, 33.43539810180664",3782,IR,,KHD
OICS,Sanandaj Airport,"47.00920104980469, 35.24589920043945",4522,IR,,SDG
OIFK,Kashan Airport,"51.57699966430664, 33.895301818847656",3465,IR,,
OIFM,Esfahan Shahid Beheshti International Airport,"51.86130142211914, 32.75080108642578",5059,IR,Isfahan,IFN
OIFP,Badr Air Base,"51.696998596191406, 32.62110137939453",5242,IR,Esfahan,
OIFS,Shahrekord Airport,"50.842201232899995, 32.2971992493",6723,IR,Shahrekord,CQD
OIGG,Sardar-e-Jangal Airport,"49.617778, 37.323333",-40,IR,Rasht,RAS
OIHH,Hamadan Airport,"48.5525016784668, 34.86920166015625",5755,IR,Hamadan,HDM
OIHS,Hamadan Air Base,"48.65340042114258, 35.21160125732422",5609,IR,Hamadan,
OIIE,Imam Khomeini International Airport,"51.152198791503906, 35.416099548339844",3305,IR,Tehran,IKA
OIIG,Ghale Morghi Airport,"51.380699157714844, 35.644798278808594",3627,IR,,
OIII,Mehrabad International Airport,"51.31340026855469, 35.68920135498047",3962,IR,Tehran,THR
OIIK,Qazvin Airport,"50.0471, 36.240101",4184,IR,Qazvin,GZW
OIIM,Naja Airport,"50.88100051879883, 35.77629852294922",4040,IR,,
OIIP,Payam International Airport,"50.826698303223, 35.776100158691",4170,IR,Karaj,PYK
OIKB,Bandar Abbas International Airport,"56.37779998779297, 27.218299865722656",22,IR,Bandar Abbas,BND
OIKJ,Jiroft Airport,"57.67029953, 28.726900100699996",2663,IR,Jiroft,JYR
OIKK,Kerman Airport,"56.9510993958, 30.274400711099997",5741,IR,Kerman,KER
OIKM,Bam Airport,"58.45000076293945, 29.084199905395508",3231,IR,,BXR
OIKQ,Dayrestan Airport,"55.902400970458984, 26.754600524902344",45,IR,,
OIKR,Rafsanjan Airport,"56.05110168457031, 30.297700881958008",5298,IR,,RJN
OIKY,Sirjan Airport,"55.672698974609375, 29.550899505615234",5846,IR,,SYJ
OIMB,Birjand Airport,"59.2661018371582, 32.898101806640625",4952,IR,Birjand,XBJ
OIMC,Sarakhs Airport,"61.06489944458008, 36.50120162963867",945,IR,Sarakhs,CKT
OIMM,Mashhad International Airport,"59.64099884033203, 36.235198974609375",3263,IR,Mashhad,MHD
OIMN,Bojnord Airport,"57.30820083618164, 37.49300003051758",3499,IR,Bojnord,BJB
OIMS,Sabzevar National Airport,"57.59519958496094, 36.16809844970703",3010,IR,Sabzevar,AFZ
OIMT,Tabas Airport,"56.8927001953, 33.6678009033",2312,IR,Tabas,TCX
OING,Gorgan Airport,"54.4012985229, 36.909400939899996",-24,IR,Gorgan,GBT
OINN,Noshahr Airport,"51.464698791503906, 36.663299560546875",-61,IR,,NSH
OINR,Ramsar Airport,"50.67959976196289, 36.9099006652832",-70,IR,,RZR
OINZ,Dasht-e Naz Airport,"53.193599700899995, 36.635799408",35,IR,Sari,SRY
OISF,Fasa Airport,"53.72330093383789, 28.891799926757812",4261,IR,Fasa,FAZ
OISL,Lar Airport,"54.3833007812, 27.6746997833",2641,IR,Lar,LRR
OISS,Shiraz Shahid Dastghaib International Airport,"52.58980178833008, 29.539199829101562",4920,IR,Shiraz,SYZ
OISY,Yasouj Airport,"51.545101165771, 30.700500488281",5939,IR,Yasouj,YES
OITL,Ardabil Airport,"48.4244003296, 38.3256988525",4315,IR,Ardabil,ADU
OITR,Urmia Airport,"45.0686988831, 37.6680984497",4343,IR,Urmia,OMH
OITT,Tabriz International Airport,"46.23500061035156, 38.1338996887207",4459,IR,Tabriz,TBZ
OITZ,Zanjan Airport,"48.3594017029, 36.7737007141",5382,IR,Zanjan,JWN
OIYY,Shahid Sadooghi Airport,"54.2765007019, 31.9048995972",4054,IR,Yazd,AZD
OIZB,Zabol Airport,"61.54389953613281, 31.09830093383789",1628,IR,,ACZ
OIZC,Konarak Airport,"60.3820991516, 25.443300247199996",43,IR,Chabahar,ZBR
OIZH,Zahedan International Airport,"60.90620040893555, 29.47570037841797",4564,IR,Zahedan,ZAH
OIZI,Iran Shahr Airport,"60.7200012207, 27.2360992432",2040,IR,Iranshahr,IHR
OJ40,Muwaffaq Salti Air Base,"36.782001495399996, 31.8255996704",1706,JO,Al Azraq,
OJAI,Queen Alia International Airport,"35.9931983948, 31.7226009369",2395,JO,Amman,AMM
OJAM,Amman-Marka International Airport,"35.991600036621094, 31.972700119018555",2555,JO,Amman,ADJ
OJAQ,Aqaba King Hussein International Airport,"35.01810073852539, 29.611600875854492",175,JO,Aqaba,AQJ
OKAJ,Ahmed Al Jaber Air Base,"47.791900634799994, 28.9347991943",409,KW,Ahmed Al Jaber AB,XIJ
OKAS,Ali Al Salem Air Base,"47.52080154418945, 29.34670066833496",472,KW,,
OKBK,Kuwait International Airport,"47.96889877319336, 29.226600646972656",206,KW,Kuwait City,KWI
OLBA,Beirut Rafic Hariri International Airport,"35.488399505615234, 33.820899963378906",87,LB,Beirut,BEY
OLKA,Rene Mouawad Air Base,"36.01129913330078, 34.589298248291016",75,LB,Tripoli,KYE
OLRA,Rayak Air Base,"35.987701416015625, 33.850799560546875",3018,LB,Rayak,
OM-0003,Duqm Jaaluni Airport,"57.6428, 19.5",380,OM,Duqm,JNJ
OM-0004,Rustaq Airport,"57.4875, 23.640556",349,OM,Al Masna'ah,MNH
OMAA,Abu Dhabi International Airport,"54.651100158691406, 24.433000564575195",88,AE,Abu Dhabi,AUH
OMAD,Bateen Airport,"54.458099365234375, 24.428300857543945",16,AE,,AZI
OMAL,Al Ain International Airport,"55.60919952392578, 24.261699676513672",869,AE,Al Ain,AAN
OMAM,Al Dhafra Air Base,"54.547698974599996, 24.248199462900004",77,AE,,DHF
OMBY,Sir Bani Yas Airport,"52.580278, 24.283611",25,AE,,XSB
OMDB,Dubai International Airport,"55.3643989563, 25.2527999878",62,AE,Dubai,DXB
OMDM,Al Minhad Air Base,"55.3661994934, 25.0268001556",165,AE,Dubai,NHD
OMDW,Al Maktoum International Airport,"55.161389, 24.896356",114,AE,Jebel Ali,DWC
OMFJ,Fujairah International Airport,"56.32400131225586, 25.112199783325195",152,AE,,FJR
OMRK,Ras Al Khaimah International Airport,"55.93880081176758, 25.613500595092773",102,AE,Ras Al Khaimah,RKT
OMSJ,Sharjah International Airport,"55.5172004699707, 25.32859992980957",111,AE,Sharjah,SHJ
OOKB,Khasab Air Base,"56.2406005859375, 26.17099952697754",100,OM,Khasab,KHS
OOMA,Masirah Air Base,"58.890499114990234, 20.675399780273438",64,OM,Masirah,MSH
OOMS,Muscat International Airport,"58.284400939941406, 23.593299865722656",48,OM,Muscat,MCT
OOSA,Salalah Airport,"54.09130096435547, 17.038700103759766",73,OM,Salalah,SLL
OOTH,Thumrait Air Base,"54.024600982666016, 17.666000366210938",1570,OM,Thumrait,TTH
OP12,Bandari Air Base,"65.16000366210938, 27.846500396728516",2524,PK,,
OPBW,Bahawalpur Airport,"71.71800231933594, 29.348100662231445",392,PK,Bahawalpur,BHV
OPCH,Chitral Airport,"71.80059814453125, 35.886600494384766",4920,PK,Chitral,CJL
OPDG,Dera Ghazi Khan Airport,"70.48590087890625, 29.961000442504883",492,PK,Dera Ghazi Khan,DEA
OPDI,Dera Ismael Khan Airport,"70.89659881591797, 31.909400939941406",594,PK,Dera Ismael Khan,DSK
OPFA,Faisalabad International Airport,"72.99479675292969, 31.364999771118164",591,PK,Faisalabad,LYP
OPGD,Gwadar International Airport,"62.329498291015625, 25.233299255371094",36,PK,Gwadar,GWD
OPGT,Gilgit Airport,"74.33360290527344, 35.918800354003906",4796,PK,Gilgit,GIL
OPJA,Shahbaz Air Base,"68.44969940185547, 28.28420066833496",185,PK,Jacobabad,JAG
OPKC,Jinnah International Airport,"67.160797, 24.9065",100,PK,Karachi,KHI
OPLA,Alama Iqbal International Airport,"74.40360260009766, 31.5216007232666",712,PK,Lahore,LHE
OPLH,Walton Airport,"74.34619903564453, 31.494800567626953",679,PK,Walton,
OPMA,Mangla Airport,"73.63839721679688, 33.05009841918945",902,PK,Mangla,XJM
OPMF,Muzaffarabad Airport,"73.50859832763672, 34.3390007019043",2691,PK,Muzaffarabad,MFG
OPMI,Mianwali Air Base,"71.5707015991211, 32.5630989074707",690,PK,Mianwali,MWD
OPMJ,Moenjodaro Airport,"68.14309692382812, 27.3351993560791",154,PK,Moenjodaro,MJD
OPMK,Mirpur Khas Air Base,"69.07279968261719, 25.6825008392334",60,PK,Mirpur Khas,MPD
OPMR,Masroor Air Base,"66.93879699707031, 24.893600463867188",35,PK,Karachi,
OPMS,Minhas Air Base,"72.4009017944, 33.8690986633",1023,PK,Kamra,ATG
OPMT,Multan International Airport,"71.41909790039062, 30.20319938659668",403,PK,Multan,MUX
OPNH,Shaheed Benazirabad Airport,"68.390099, 26.2194",95,PK,Nawabashah,WNS
OPPG,Panjgur Airport,"64.13249969482422, 26.954500198364258",3289,PK,Panjgur,PJG
OPPI,Pasni Airport,"63.34510040283203, 25.29050064086914",33,PK,Pasni,PSI
OPPS,Peshawar International Airport,"71.51460266113281, 33.993900299072266",1158,PK,Peshawar,PEW
OPQT,Quetta International Airport,"66.93779754638672, 30.251399993896484",5267,PK,Quetta,UET
OPRK,Shaikh Zaid Airport,"70.27960205078125, 28.383899688720703",271,PK,Rahim Yar Khan,RYK
OPRN,Benazir Bhutto International Airport,"73.09919738769531, 33.61669921875",1668,PK,Islamabad,ISB
OPRQ,Rafiqui Air Base,"72.28250122070312, 30.758100509643555",492,PK,Shorkot,
OPRS,Risalpur Air Base,"71.97260284423828, 34.08110046386719",1050,PK,Risalpur,
OPRT,Rawalakot Airport,"73.79810333251953, 33.849700927734375",5479,PK,Rawalakot,RAZ
OPSD,Skardu Airport,"75.53600311279297, 35.33549880981445",7316,PK,Skardu,KDU
OPSF,Faisal Air Base,"67.11849975585938, 24.87420082092285",29,PK,Karachi,
OPSK,Sukkur Airport,"68.79170227050781, 27.722000122070312",196,PK,Mirpur Khas,SKZ
OPSN,Sehwan Sharif Airport,"67.71720123291016, 26.473100662231445",121,PK,Sehwan Sharif,SYW
OPSR,Mushaf Air Base,"72.66500091552734, 32.04859924316406",614,PK,Sargodha,SGI
OPSS,Saidu Sharif Airport,"72.35279846191406, 34.8135986328125",3183,PK,Saidu Sharif,SDT
OPST,Sialkot Airport,"74.3638916016, 32.5355567932",837,PK,Sialkot,SKT
OPSU,Sui Airport,"69.1769027709961, 28.645099639892578",763,PK,Sui,SUL
OPTU,Turbat International Airport,"63.03020095825195, 25.986400604248047",498,PK,Turbat,TUK
OPZB,Zhob Airport,"69.4636001586914, 31.358400344848633",4728,PK,Fort Sandeman,PZH
ORAA,Al Asad Air Base,"42.4412002563, 33.7855987549",618,IQ,Hīt,IQA
ORAT,Al Taqaddum Air Base,"43.597099304199, 33.33810043335",275,IQ,Al Habbaniyah,TQD
ORBD,Joint Base Balad,"44.361598968500005, 33.940200805699995",161,IQ,Balad,XQC
ORBI,Baghdad International Airport,"44.2346000671, 33.262500762900004",114,IQ,Baghdad,BGW
ORBM,Mosul International Airport,"43.14739990234375, 36.30580139160156",719,IQ,Mosul,OSB
ORER,Erbil International Airport,"43.963199615478516, 36.23759841918945",1341,IQ,Arbil,EBL
ORKK,Kirkuk Air Base,"44.348899841308594, 35.46950149536133",1061,IQ,Kirkuk,KIK
ORMM,Basrah International Airport,"47.66210174560547, 30.549100875854492",11,IQ,Basrah,BSR
ORQW,Qayyarah West Airport,"43.125099182099994, 35.76720047",749,IQ,Qayyarah,RQW
ORSH,Al Sahra Army Air Field,"43.542999267578125, 34.67319869995117",451,IQ,Tikrit,
ORSU,Sulaymaniyah International Airport,"45.316738128699996, 35.5617485046",2494,IQ,Sulaymaniyah,ISU
ORTF,Tall Afar Army Air Field,"42.40299987792969, 36.28310012817383",996,IQ,Tall Afar,
ORTI,Al Taji Army Air Field,"44.25669860839844, 33.52389907836914",121,IQ,Taji,
ORTL,Ali Air Base,"46.0900993347168, 30.935800552368164",20,IQ,Nasiriyah,
ORUB,Ubaydah Bin Al Jarrah Airport,"45.75709915161133, 32.481998443603516",68,IQ,Al Cut,
OS57,Abu ad Duhur Air Base,"37.10419845581055, 35.732200622558594",846,SY,Abu ad Duhur,
OS64,An Nasiriyah Air Base,"36.866600036621094, 33.91899871826172",2727,SY,,
OS69,Khalkhalah Air Base,"36.55820846557617, 33.077301025390625",2310,SY,Buraq,
OS70,Al Qusayr Air Base,"36.57279968261719, 34.56909942626953",1768,SY,Al-Qusayr,
OSAP,Aleppo International Airport,"37.22439956665039, 36.18069839477539",1276,SY,Aleppo,ALP
OSDI,Damascus International Airport,"36.51559829711914, 33.4114990234375",2020,SY,Damascus,DAM
OSDZ,Deir ez-Zor Air Base,"40.175999, 35.2854",700,SY,Deir ez-Zor,DEZ
OSKL,Kamishly Airport,"41.19139862060547, 37.020599365234375",1480,SY,Kamishly,KAC
OSLK,Bassel Al-Assad International Airport,"35.948699951171875, 35.401100158691406",157,SY,Latakia,LTK
OSPR,Palmyra Airport,"38.316898, 34.5574",1322,SY,Tadmur,PMS
OTBH,Al Udeid Air Base,"51.3149986267, 25.1173000336",130,QA,Ar Rayyan,XJD
OY74,Al Anad Air Base,"44.765098571777344, 13.174699783325195",900,YE,,
OYAA,Aden International Airport,"45.02880096435547, 12.829500198364258",7,YE,Aden,ADE
OYAT,Ataq Airport,"46.82619857788086, 14.551300048828125",3735,YE,,AXK
OYBN,Beihan Airport,"45.72010040283203, 14.781999588012695",3800,YE,,BHN
OYGD,Al Ghaidah International Airport,"52.17499923706055, 16.191699981689453",134,YE,,AAY
OYHD,Hodeidah International Airport,"42.97629928588867, 14.753000259399414",41,YE,Hodeida,HOD
OYRN,Mukalla International Airport,"49.375, 14.662599563598633",54,YE,Riyan,RIY
OYSN,Sana'a International Airport,"44.21969985961914, 15.476300239562988",7216,YE,Sana'a,SAH
OYSQ,Socotra International Airport,"53.905799865722656, 12.63070011138916",146,YE,Socotra Islands,SCT
OYSY,Sayun International Airport,"48.78829956049999, 15.9660997391",2097,YE,Sayun,GXF
OYTZ,Ta'izz International Airport,"44.139099121099996, 13.6859998703",4838,YE,Ta'izz,TAI
PAAQ,Palmer Municipal Airport,"-149.08900451660156, 61.59489822387695",242,US,Palmer,PAQ
PABA,Barter Island LRRS Airport,"-143.582000732, 70.1340026855",2,US,Barter Island Lrrs,BTI
PABE,Bethel Airport,"-161.8379974, 60.77980042",126,US,Bethel,BET
PABI,Allen Army Airfield,"-145.722000122, 63.9944992065",1291,US,Delta Junction Ft Greely,BIG
PABL,Buckland Airport,"-161.149002075, 65.9815979004",31,US,Buckland,BKC
PABR,Wiley Post Will Rogers Memorial Airport,"-156.766008, 71.285402",44,US,Utqiaġvik,BRW
PABT,Bettles Airport,"-151.529007, 66.91390228",647,US,Bettles,BTT
PABV,Birchwood Airport,"-149.5070038, 61.41650009",83,US,Birchwood,
